,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
98,-2.0,1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1650479185586431.0
99,0.0,0.0,-3.0,-4.0,0.0,2.0,0.0,0.0,1650479185586431.0
100,0.0,3.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1650479185588424.0
101,1.0,-1.0,-4.0,-2.0,-2.0,-2.0,0.0,-1.0,1650479185588424.0
102,-1.0,-2.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,1650479185609623.0
103,0.0,-5.0,-2.0,0.0,-2.0,0.0,0.0,-1.0,1650479185609623.0
104,-2.0,-3.0,0.0,-3.0,-2.0,-1.0,-2.0,-2.0,1650479185610510.0
105,1.0,-1.0,-8.0,-11.0,-2.0,-1.0,-1.0,1.0,1650479185610510.0
106,0.0,0.0,4.0,6.0,1.0,0.0,-1.0,0.0,1650479185623504.0
107,0.0,-2.0,2.0,4.0,0.0,0.0,1.0,0.0,1650479185623504.0
108,-1.0,0.0,-4.0,-2.0,0.0,-2.0,0.0,-1.0,1650479185632121.0
109,0.0,4.0,-1.0,0.0,-2.0,-2.0,-1.0,0.0,1650479185632121.0
110,-1.0,1.0,2.0,2.0,0.0,1.0,1.0,-2.0,1650479185646940.0
111,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1650479185646940.0
112,0.0,0.0,4.0,0.0,1.0,0.0,0.0,-1.0,1650479185647850.0
113,-1.0,-5.0,-2.0,-1.0,-1.0,0.0,0.0,-2.0,1650479185647850.0
114,0.0,0.0,-6.0,-5.0,-1.0,-1.0,-2.0,-1.0,1650479185669363.0
115,-2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1650479185669363.0
116,2.0,2.0,1.0,1.0,0.0,-1.0,-1.0,0.0,1650479185670226.0
117,-2.0,0.0,-6.0,-4.0,0.0,1.0,0.0,0.0,1650479185670226.0
118,-1.0,-1.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,1650479185683191.0
119,2.0,9.0,-7.0,-4.0,-3.0,-1.0,-1.0,-3.0,1650479185683191.0
120,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1650479185691839.0
121,-1.0,1.0,1.0,4.0,0.0,0.0,0.0,-1.0,1650479185691839.0
